07.12.2024   N1106
Îáðàçåö: "Âîëüôðàì"
LiF200
Òðóáêà: "40,0/0,100"
        Îòð1            Îòð2
   [ìÀ]  [Èìï/ñ]   [ìÀ]  [Èìï/ñ]
    834     370     425    67,3
    839     336     427    33,6
    844     336     430    33,6
    849     303     432    33,6
    854     303     435    33,6
    859     336     437    33,6
    864     303     440    33,6
    869     303     442     0,0
    874     336     445     0,0
    879     303     447     0,0
    884     269     450     0,0
    889     303     452     0,0
    894     303     455     0,0
    899     336     457     0,0
    904     336     460     0,0
    909     336     462     0,0
    914     303     465    33,6
    919     269     467    33,6
    924     269     469    33,6
    929     269     472    33,6
    934     235     474    33,6
    939     235     477    33,6
    944     235     479    33,6
    949     202     482    33,6
    954     235     484    33,6
    959     269     487    33,6
    964     269     489    33,6
    969     235     492    33,6
    974     235     494    33,6
    979     269     497    33,6
    984     269     499    67,3
    989     269     502    67,3
    994     269     504    67,3
    999     269     507    33,6
   1004     235     509    33,6
   1009     303     511    33,6
   1014     303     514     0,0
   1019     336     516     0,0
   1024     404     519    33,6
   1029     437     521    33,6
   1034     471     524    33,6
   1039     572     526    33,6
   1044     639     529    33,6
   1049     706     531    33,6
   1054     639     534    33,6
   1059     572     536    33,6
   1064     538     538    33,6
   1069     673     541    33,6
   1074     908     543    33,6
   1079    1312     546    33,6
   1084    1581     548    33,6
   1089    1547     551    33,6
   1094    1278     553    33,6
   1099     942     556    33,6
   1104     740     558    33,6
   1109     572     561    33,6
   1114     336     563    33,6
   1119     235     566    33,6
   1124     168     568    33,6
   1129     168     571    33,6
   1134     202     573    33,6
   1139     235     576    33,6
   1144     168     578    33,6
   1149     202     581    33,6
   1154     202     583    33,6
   1159     269     586    33,6
   1164     303     588    33,6
   1169     235     591    67,3
   1174     235     593     101
   1179     202     596     101
   1184     202     598    67,3
   1189     235     601    67,3
   1194     303     603    67,3
   1199     404     606    67,3
   1204     370     608    67,3
   1209     437     610    67,3
   1214     606     613    33,6
   1219    1110     615    33,6
   1224    1783     618    33,6
   1229    2859     620    33,6
   1234    3566     623    33,6
   1239    3499     625    33,6
   1244    3061     628    33,6
   1249    2725     630    33,6
   1254    2691     633     0,0
   1259    4205     635    33,6
   1264    6694     638     0,0
   1269    8410     640    33,6
   1274    8444     643    33,6
   1279    6661     645    33,6
   1284    4373     648    33,6
   1289    2086     650    33,6
   1294    1009     652    33,6
   1299     572     655     0,0
   1304     606     657    33,6
   1309     404     660    33,6
   1314     202     662    33,6
   1319     168     665     0,0
   1324     202     667     0,0
   1329     235     670    33,6
   1334     269     672    33,6
   1339     235     675    33,6
   1344     202     677    33,6
   1349     135     680    33,6
   1354     101     682    33,6
   1359     168     685    33,6
   1364     168     687    33,6
   1369     168     690    33,6
   1374     135     692    33,6
   1379     168     695    33,6
   1384     168     697    33,6
   1389     202     700     0,0
   1394     202     702    33,6
   1399     235     704    33,6
   1404     336     707    33,6
   1409     336     709    33,6
   1414     235     712     0,0
   1419     235     714     0,0
   1424     202     717     0,0
   1429     235     719     0,0
   1434     168     722     0,0
   1439     235     724     0,0
   1444     404     727     0,0
   1449     875     729     0,0
   1454    2658     732    33,6
   1459    6190     734    33,6
   1464    8141     737    33,6
   1469    7939     739     0,0
   1474    7165     742     0,0
   1479    5080     744    33,6
   1484    2590     747    33,6
   1489     976     749    33,6
   1494     336     752    33,6
   1499     168     754    33,6
   1504    67,3     757     0,0
   1509     135     759     0,0
   1514     135     761     0,0
   1519     101     764     0,0
   1524     135     766     0,0
   1529     235     769     0,0
   1534     235     771    33,6
   1539     135     774    33,6
   1544     135     776    33,6
   1549     101     779     0,0
   1554    33,6     781     0,0
   1559     101     784     0,0
   1564     101     786     0,0
   1569     101     789    33,6
   1574    33,6     791     0,0
   1579    33,6     794     0,0
   1584    33,6     796     0,0
   1589    67,3     799    33,6
   1594    67,3     801     0,0
   1599    33,6     804     0,0
   1604    33,6     806     0,0
   1609     101     809    33,6
   1614     135     811    33,6
   1619    33,6     813     0,0
   1624     0,0     816     0,0
   1629    33,6     818     0,0
   1634    67,3     821     0,0
   1639    33,6     823     0,0
   1644    33,6     826     0,0
   1649    33,6     828     0,0
   1654    33,6     831     0,0
   1658     114     833    12,0
   1660     171     834    15,0
   1662     186     835     9,0
   1664     226     836     7,0
   1666     265     837    11,0
   1668     275     838    11,0
   1670     247     839     9,0
   1672     229     840    10,0
   1674     235     841     9,0
   1676     226     842     8,0
   1678     198     843    13,0
   1680     190     844    10,0
   1682     171     845     9,0
   1685     121     846    14,0
   1687     107     847    12,0
   1689    84,0     848    13,0
   1691    70,0     849    13,0
   1693    76,0     850     8,0
   1695    63,0     851    14,0
   1697    58,0     852    16,0
   1699    52,0     853    15,0
   1701    50,0     854     8,0
   1703    39,0     855    10,0
   1705    41,0     856    10,0
   1707    40,0     857    11,0
   1709    43,0     858    12,0
   1711    44,0     859     8,0
   1713    40,0     860     5,0
   1715    30,0     861    18,0
   1717    36,0     862    10,0
   1719    39,0     863    13,0
   1721    45,0     864     9,0
   1723    40,0     865     9,0
   1725    28,0     866     8,0
   1727    42,0     867     6,0
   1729    45,0     868    10,0
   1731    46,0     869    10,0
   1733    35,0     870    13,0
   1735    34,0     871    14,0
   1737    39,0     872     8,0
   1739    47,0     873     7,0
   1741    36,0     874    10,0
   1743    50,0     875    14,0
   1745    51,0     876     5,0
   1747    47,0     877    12,0
   1749    49,0     878    10,0
   1751    37,0     879    10,0
   1753    40,0     880     7,0
   1755    51,0     881     9,0
   1757    48,0     882    10,0
   1759    48,0     883     6,0
   1761    40,0     884     6,0
   1763    25,0     885     3,0
   1765    42,0     886     9,0
   1767    32,0     887    13,0
   1769    25,0     888     7,0
   1771    22,0     889     9,0
   1773    30,0     890    11,0
   1775    38,0     891     7,0
   1777    42,0     892     9,0
   1780    39,0     893     8,0
   1782    34,0     894     6,0
   1784    39,0     895     4,0
   1786    39,0     896     7,0
   1788    37,0     897     6,0
   1790    42,0     898     8,0
   1792    31,0     899     6,0
   1794    32,0     900     9,0
   1796    33,0     901    10,0
   1798    31,0     902    11,0
   1800    40,0     903     3,0
   1802    39,0     904     6,0
   1804    36,0     905     9,0
   1806    33,0     906     8,0
   1808    25,0     907     8,0
   1810    40,0     908     8,0
   1812    37,0     909    11,0
   1814    35,0     910     7,0
   1816    33,0     911     4,0
   1818    25,0     912     2,0
   1820    41,0     913     7,0
   1822    34,0     914    11,0
   1824    40,0     915    11,0
   1826    27,0     916    11,0
   1828    30,0     917     8,0
   1830    38,0     918     8,0
   1832    39,0     919     3,0
   1834    41,0     920     6,0
   1836    29,0     921     5,0
   1838    21,0     922     7,0
   1840    31,0     923     5,0
   1842    30,0     924     7,0
   1844    40,0     925    11,0
   1846    37,0     926    10,0
   1848    37,0     927     4,0
   1850    29,0     928    12,0
   1852    28,0     929     4,0
   1854    40,0     930     6,0
   1856    27,0     931     9,0
   1858    19,0     932     4,0
   1860    37,0     933     7,0
   1862    24,0     934     5,0
   1864    36,0     935     4,0
   1866    21,0     936     7,0
   1868    38,0     937     4,0
   1870    22,0     938     7,0
   1872    36,0     939     9,0
   1874    33,0     940     2,0
   1876    24,0     941     6,0
   1878    27,0     942     6,0
   1880    29,0     943     8,0
   1882    26,0     944     4,0
   1884    20,0     945     8,0
   1886    31,0     946    11,0
   1888    20,0     947     5,0
   1890    29,0     948    11,0
   1892    31,0     949     1,0
   1894    28,0     950     5,0
   1896    21,0     951     9,0
   1898    22,0     952    12,0
   1900    18,0     953     5,0
   1902    29,0     954     6,0
   1904    30,0     955     5,0
   1906    25,0     956     4,0
   1908    30,0     957     9,0
   1910    20,0     958     8,0
   1912    21,0     959     5,0
   1914    22,0     960    13,0
   1916    17,0     961     2,0
   1918    30,0     962     5,0
   1920    39,0     963     3,0
   1922    35,0     964     6,0
   1924    40,0     965     3,0
   1926    63,0     966     9,0
   1928    72,0     967     4,0
   1930    65,0     968     4,0
   1932    63,0     969     7,0
   1934    56,0     970     6,0
   1936    65,0     971     3,0
   1938    55,0     972     4,0
   1940    34,0     973     7,0
   1942    29,0     974     4,0
   1944    27,0     975    12,0
   1946    29,0     976     5,0
   1948    23,0     977     7,0
   1950    19,0     978     4,0
   1952    26,0     979     3,0
   1954    30,0     980     6,0
   1956    20,0     981     6,0
   1958    21,0     982     4,0
   1961    29,0     983     5,0
   1963    21,0     984     3,0
   1965    26,0     985     7,0
   1967    34,0     986     1,0
   1969    22,0     987     5,0
   1971    31,0     988     4,0
   1973    24,0     989     4,0
   1975    21,0     990     5,0
   1977    15,0     991     3,0
   1979    26,0     992     3,0
   1981    18,0     993     1,0
   1983    21,0     994     7,0
   1985    16,0     995     5,0
   1987    32,0     996     6,0
   1989    31,0     997     4,0
   1991    21,0     998     3,0
   1993    23,0     999     2,0
   1995    21,0    1000     6,0
   1997    22,0    1001     5,0
   1999    28,0    1002     5,0
   2001    21,0    1003     4,0
