07.12.2024   N1106
Образец: "Осмич"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834     168     425    67,2
    839     303     427    33,6
    844     336     430    33,6
    849     303     432    33,6
    854     269     435    33,6
    859     235     437     0,0
    864     235     440     0,0
    869     235     442     0,0
    874     269     445     0,0
    879     235     447     0,0
    884     235     450    33,6
    889     235     452    33,6
    894     269     455    33,6
    899     269     457     0,0
    904     235     460     0,0
    909     269     462     0,0
    914     235     465     0,0
    919     269     467     0,0
    924     336     469     0,0
    929     336     472    33,6
    934     336     474    33,6
    939     303     477    33,6
    944     269     479    33,6
    949     269     482    33,6
    954     336     484    33,6
    959     437     487    33,6
    964     504     489    33,6
    969     572     492    33,6
    974     605     494    33,6
    979     773     497    33,6
    984     941     499    33,6
    989    1076     502    33,6
    994    1109     504    33,6
    999    1244     507    33,6
   1004    1546     509    33,6
   1009    1782     511    33,6
   1014    1916     514    33,6
   1019    1681     516    33,6
   1024    1177     519     0,0
   1029     840     521    33,6
   1034     538     524    33,6
   1039     336     526    33,6
   1044     269     529    33,6
   1049     269     531    33,6
   1054     269     534    33,6
   1059     235     536    33,6
   1064     235     538    33,6
   1069     235     541    33,6
   1074     269     543    33,6
   1079     269     546    33,6
   1084     303     548    33,6
   1089     336     551    33,6
   1094     403     553    33,6
   1099     403     556    33,6
   1104     370     558    33,6
   1109     437     561    33,6
   1114     471     563    33,6
   1119     572     566    33,6
   1124     605     568    33,6
   1129     706     571    33,6
   1134     975     573    33,6
   1139    1378     576     0,0
   1144    2320     578     0,0
   1149    3496     581    33,6
   1154    5144     583    33,6
   1159    5984     586    33,6
   1164    6253     588    33,6
   1169    6455     591    33,6
   1174    7430     593    33,6
   1179    9480     596    67,2
   1184   10926     598    67,2
   1189   10086     601     101
   1194    7799     603    67,2
   1199    5043     606    67,2
   1204    3194     608    33,6
   1209    1950     610    33,6
   1214    1109     613     0,0
   1219     605     615     0,0
   1224     303     618     0,0
   1229     235     620     0,0
   1234     269     623    33,6
   1239     235     625    33,6
   1244     202     628     0,0
   1249     134     630     0,0
   1254     101     633    33,6
   1259     134     635    33,6
   1264     134     638    33,6
   1269     134     640    33,6
   1274     168     643    33,6
   1279     168     645    33,6
   1284     168     648    33,6
   1289     101     650     0,0
   1294    67,2     652     0,0
   1299     101     655     0,0
   1304     235     657     0,0
   1309     269     660    33,6
   1314     403     662    33,6
   1319     437     665    33,6
   1324     403     667    33,6
   1329     303     670    33,6
   1334     336     672     0,0
   1339     235     675     0,0
   1344     235     677     0,0
   1349     303     680     0,0
   1354     269     682     0,0
   1359     403     685     0,0
   1364    1580     687     0,0
   1369    4740     690    33,6
   1374    9043     692    33,6
   1379   12002     695    33,6
   1384   11834     697    33,6
   1389    9010     700     0,0
   1394    5581     702     0,0
   1399    2757     704    33,6
   1404    1076     707    33,6
   1409     403     709    33,6
   1414     303     712    33,6
   1419     202     714     0,0
   1424     168     717     0,0
   1429     134     719     0,0
   1434     134     722     0,0
   1439     101     724    33,6
   1444     101     727    33,6
   1449     134     729    33,6
   1454     101     732    33,6
   1459     101     734    33,6
   1464    67,2     737    33,6
   1469    67,2     739     0,0
   1474    67,2     742     0,0
   1479     101     744    33,6
   1484    67,2     747    33,6
   1489     101     749    33,6
   1494    67,2     752     0,0
   1499    67,2     754     0,0
   1504    67,2     757    33,6
   1509    67,2     759    33,6
   1514    67,2     761     0,0
   1519     101     764     0,0
   1524     168     766     0,0
   1529     202     769     0,0
   1534     202     771     0,0
   1539     202     774     0,0
   1544     168     776     0,0
   1549     101     779    33,6
   1554    67,2     781    33,6
   1559     134     784    33,6
   1564     202     786     0,0
   1569     303     789     0,0
   1574     370     791     0,0
   1579     303     794     0,0
   1584     235     796     0,0
   1589     168     799     0,0
   1594    67,2     801     0,0
   1599    33,6     804     0,0
   1604    67,2     806     0,0
   1609    33,6     809     0,0
   1614    33,6     811    33,6
   1619     134     813    33,6
   1624     101     816    33,6
   1629     0,0     818     0,0
   1634    33,6     821     0,0
   1639    33,6     823     0,0
   1644    33,6     826     0,0
   1649     0,0     828     0,0
   1654    67,2     831     0,0
   1659    67,2     833     0,0
   1660    40,0     834    13,0
   1662    38,0     835     7,0
   1664    52,0     836     8,0
   1666    55,0     837     8,0
   1668    46,0     838    12,0
   1670    46,0     839    10,0
   1672    38,0     840     6,0
   1674    45,0     841    22,0
   1676    46,0     842    13,0
   1678    24,0     843    13,0
   1680    31,0     844     8,0
   1682    44,0     845     6,0
   1685    43,0     846    11,0
   1687    29,0     847    12,0
   1689    28,0     848     9,0
   1691    42,0     849     9,0
   1693    32,0     850    15,0
   1695    27,0     851     5,0
   1697    38,0     852     9,0
   1699    30,0     853     8,0
   1701    32,0     854     8,0
   1703    30,0     855    11,0
   1705    37,0     856     5,0
   1707    30,0     857    17,0
   1709    36,0     858     8,0
   1711    37,0     859    11,0
   1713    32,0     860     9,0
   1715    30,0     861     9,0
   1717    39,0     862    10,0
   1719    39,0     863     9,0
   1721    43,0     864    11,0
   1723    30,0     865     6,0
   1725    40,0     866    10,0
   1727    35,0     867     7,0
   1729    33,0     868     9,0
   1731    31,0     869    10,0
   1733    32,0     870    13,0
   1735    34,0     871    10,0
   1737    30,0     872     6,0
   1739    43,0     873     8,0
   1741    30,0     874    10,0
   1743    36,0     875    10,0
   1745    38,0     876     8,0
   1747    25,0     877     3,0
   1749    43,0     878     8,0
   1751    37,0     879     6,0
   1753    35,0     880     6,0
   1755    43,0     881     8,0
   1757    36,0     882     6,0
