07.12.2024   N1106
Образец: "Платина"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834     572     425     0,0
    839     437     427    33,6
    844     471     430    33,6
    849     471     432    33,6
    854     471     435    33,6
    859     471     437    33,6
    864     437     440    33,6
    869     404     442    33,6
    874     437     445    33,6
    879     505     447     0,0
    884     538     450    33,6
    889     639     452    33,6
    894     706     455    33,6
    899     774     457    33,6
    904     841     460    33,6
    909     908     462    33,6
    914     976     465    33,6
    919    1076     467    33,6
    924    1177     469    33,6
    929    1447     472    33,6
    934    1749     474    33,6
    939    1985     477    33,6
    944    1985     479    33,6
    949    1850     482    33,6
    954    1447     484    33,6
    959    1043     487    33,6
    964     774     489    33,6
    969     606     492    67,3
    974     505     494    67,3
    979     471     497    67,3
    984     370     499    67,3
    989     336     502    67,3
    994     235     504    33,6
    999     269     507    33,6
   1004     336     509     0,0
   1009     404     511     0,0
   1014     437     514    33,6
   1019     471     516    33,6
   1024     404     519    33,6
   1029     471     521    67,3
   1034     471     524    67,3
   1039     471     526    67,3
   1044     505     529    67,3
   1049     706     531    33,6
   1054     942     534    33,6
   1059    1245     536    33,6
   1064    1648     538    67,3
   1069    2254     541    67,3
   1074    3431     543    67,3
   1079    4878     546    67,3
   1084    6964     548    67,3
   1089    9016     551     101
   1094   10462     553    67,3
   1099   12144     556    67,3
   1104   12649     558    67,3
   1109   11976     561    33,6
   1114    9958     563    33,6
   1119    7401     566    33,6
   1124    5012     568    33,6
   1129    3465     571    33,6
   1134    2153     573    33,6
   1139    1413     576    33,6
   1144     976     578    67,3
   1149     774     581    67,3
   1154     639     583    33,6
   1159     538     586    33,6
   1164     505     588    67,3
   1169     437     591    33,6
   1174     336     593    67,3
   1179     303     596    33,6
   1184     269     598    33,6
   1189     235     601    33,6
   1194     303     603    33,6
   1199     303     606    33,6
   1204     336     608    33,6
   1209     303     610    33,6
   1214     235     613    33,6
   1219     303     615    33,6
   1224     437     618    33,6
   1229     538     620    33,6
   1234     471     623    33,6
   1239     404     625    33,6
   1244     303     628     0,0
   1249     235     630    33,6
   1254     168     633    33,6
   1259     168     635    33,6
   1264     235     638    33,6
   1269     404     640    33,6
   1274     572     643    33,6
   1279     505     645    33,6
   1284    1312     648    33,6
   1289    4474     650    33,6
   1294    9217     652    67,3
   1299   13187     655    67,3
   1304   13153     657    33,6
   1309   11505     660    33,6
   1314    8915     662    33,6
   1319    5315     665     0,0
   1324    2456     667     0,0
   1329    1076     670    33,6
   1334     538     672    33,6
   1339     336     675    33,6
   1344     235     677    33,6
   1349     202     680    33,6
   1354    67,3     682    33,6
   1359     101     685    33,6
   1364     135     687     0,0
   1369     202     690     0,0
   1374     202     692     0,0
   1379     235     695     0,0
   1384     202     697     0,0
   1389     135     700    33,6
   1394     135     702    33,6
   1399     135     704    33,6
   1404     101     707    33,6
   1409    33,6     709    33,6
   1414    67,3     712    33,6
   1419     135     714    33,6
   1424     168     717    33,6
   1429     101     719    33,6
   1434     135     722    33,6
   1439     235     724    33,6
   1444     202     727    33,6
   1449     135     729    33,6
   1454     135     732    33,6
   1459     168     734     0,0
   1464     135     737     0,0
   1469     135     739     0,0
   1474     135     742     0,0
   1479     269     744    33,6
   1484     404     747    33,6
   1489     471     749    33,6
   1494     437     752    33,6
   1499     404     754    33,6
   1504     303     757     0,0
   1509     168     759     0,0
   1514     101     761     0,0
   1519     135     764     0,0
   1524     202     766     0,0
   1529     235     769     0,0
   1534     269     771     0,0
   1539     202     774     0,0
   1544     135     776     0,0
   1549     101     779     0,0
   1554     101     781     0,0
   1559    67,3     784    33,6
   1564    67,3     786    33,6
   1569    67,3     789    33,6
   1574    67,3     791    33,6
   1579    67,3     794     0,0
   1584    67,3     796     0,0
   1589     101     799     0,0
   1594    33,6     801     0,0
   1599    33,6     804     0,0
   1604     0,0     806     0,0
   1609    33,6     809     0,0
   1614    67,3     811    33,6
   1619    67,3     813    33,6
   1624    67,3     816    33,6
   1629    67,3     818     0,0
   1634     135     821    33,6
   1639     101     823    33,6
   1644    67,3     826    33,6
   1649    67,3     828    67,3
   1654    33,6     831    67,3
   1659    67,3     833    33,6
   1664     101     836     0,0
   1669    33,6     838     0,0
   1674     0,0     841     0,0
   1679     0,0     843     0,0
   1684    33,6     846    33,6
   1689    67,3     848     0,0
   1693    47,0     850    11,0
   1695    35,0     851     8,0
   1697    43,0     852     8,0
   1699    33,0     853    12,0
   1701    46,0     854     7,0
