07.12.2024   N1106
Образец: "Рений"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834     404     425     0,0
    839     404     427    33,7
    844     337     430     0,0
    849     236     432     0,0
    854     202     435    33,7
    859     168     437    33,7
    864     202     440    33,7
    869     269     442    33,7
    874     303     445    33,7
    879     303     447    33,7
    884     303     450    33,7
    889     303     452    33,7
    894     269     455    33,7
    899     269     457    33,7
    904     303     460    33,7
    909     337     462    33,7
    914     370     465    33,7
    919     337     467    33,7
    924     337     469    33,7
    929     303     472    33,7
    934     303     474    33,7
    939     337     477    33,7
    944     337     479    67,4
    949     337     482    67,4
    954     370     484    67,4
    959     337     487    67,4
    964     337     489    67,4
    969     337     492    33,7
    974     303     494    33,7
    979     303     497    67,4
    984     337     499    33,7
    989     404     502    33,7
    994     438     504    33,7
    999     505     507    33,7
   1004     606     509    33,7
   1009     674     511    33,7
   1014     775     514    33,7
   1019     909     516    33,7
   1024     977     519    33,7
   1029    1078     521    33,7
   1034    1347     524    33,7
   1039    1246     526    33,7
   1044    1179     529    33,7
   1049    1078     531    33,7
   1054    1111     534    33,7
   1059    1280     536    33,7
   1064    1145     538    33,7
   1069     842     541    33,7
   1074     539     543    33,7
   1079     438     546    33,7
   1084     471     548    67,4
   1089     438     551    67,4
   1094     438     553    67,4
   1099     370     556    33,7
   1104     337     558    33,7
   1109     236     561    33,7
   1114     236     563    33,7
   1119     269     566    33,7
   1124     303     568    33,7
   1129     269     571    33,7
   1134     269     573    33,7
   1139     202     576    33,7
   1144     303     578    33,7
   1149     370     581    33,7
   1154     438     583    67,4
   1159     438     586    67,4
   1164     505     588    67,4
   1169     775     591     101
   1174    1044     593     101
   1179    1482     596     101
   1184    2357     598    67,4
   1189    3738     601    67,4
   1194    4782     603    33,7
   1199    4782     606    33,7
   1204    4782     608    33,7
   1209    4849     610    67,4
   1214    5657     613    67,4
   1219    7981     615    67,4
   1224    9934     618    67,4
   1229   10911     620    67,4
   1234    9564     623    67,4
   1239    7375     625    67,4
   1244    4950     628    67,4
   1249    2660     630    67,4
   1254    1212     633    33,7
   1259     808     635    33,7
   1264     842     638    33,7
   1269    1044     640    33,7
   1274    1010     643    33,7
   1279     741     645    33,7
   1284     505     648    33,7
   1289     370     650    33,7
   1294     269     652    33,7
   1299     269     655    33,7
   1304     269     657     0,0
   1309     202     660    33,7
   1314     168     662    33,7
   1319     202     665    33,7
   1324     236     667    33,7
   1329     202     670    33,7
   1334     135     672     0,0
   1339     168     675    33,7
   1344     135     677    33,7
   1349     236     680    33,7
   1354     236     682    33,7
   1359     269     685     0,0
   1364     370     687    33,7
   1369     337     690    33,7
   1374     303     692    33,7
   1379     269     695    33,7
   1384     236     697    33,7
   1389     135     700    33,7
   1394     202     702    33,7
   1399     303     704    33,7
   1404     977     707    33,7
   1409    3098     709    33,7
   1414    6634     712    33,7
   1419    9766     714    33,7
   1424   10978     717     0,0
   1429    9665     719     0,0
   1434    7206     722    33,7
   1439    4310     724     0,0
   1444    1919     727     0,0
   1449     842     729    33,7
   1454     606     732     0,0
   1459     707     734    33,7
   1464     909     737    33,7
   1469     909     739    33,7
   1474     707     742     0,0
   1479     572     744    33,7
   1484     471     747     0,0
   1489     168     749     0,0
   1494    67,4     752     0,0
   1499     101     754     0,0
   1504     101     757     0,0
   1509    67,4     759    33,7
   1514     101     761    33,7
   1519     101     764    33,7
   1524     135     766    33,7
   1529     236     769    33,7
   1534     303     771    33,7
   1539     202     774     0,0
   1544     135     776     0,0
   1549     135     779     0,0
   1554    33,7     781     0,0
   1559    33,7     784     0,0
   1564    67,4     786     0,0
   1569    67,4     789    33,7
   1574     101     791    33,7
   1579     101     794    33,7
   1584    67,4     796     0,0
   1589    67,4     799    33,7
   1594    67,4     801    33,7
   1599     101     804    67,4
   1604     101     806    33,7
   1609     168     809     0,0
   1614     269     811     0,0
   1619     370     813     0,0
   1624     337     816    33,7
   1629     303     818    33,7
   1634     202     821    33,7
   1639     135     823     0,0
   1644     101     826     0,0
   1649    33,7     828     0,0
   1654    67,4     831     0,0
   1659     101     833     0,0
   1664    67,4     836     0,0
   1669     101     838     0,0
   1674    67,4     841     0,0
   1679     0,0     843     0,0
   1684    67,4     846     0,0
   1689     101     848     0,0
   1694    67,4     851     0,0
   1699    33,7     853     0,0
   1704    67,4     856     0,0
   1709    67,4     858     0,0
   1714    33,7     861     0,0
   1719    33,7     863     0,0
   1724    67,4     866     0,0
   1729    67,4     868     0,0
   1734    33,7     870     0,0
   1739    33,7     873     0,0
   1744    33,7     875     0,0
   1749    33,7     878    33,7
   1754    33,7     880    33,7
   1759    67,4     883     0,0
   1764    33,7     885     0,0
   1769    67,4     888     0,0
   1774    67,4     890     0,0
   1779     0,0     893     0,0
   1784    67,4     895     0,0
   1789    33,7     898     0,0
   1794    33,7     900     0,0
   1799    33,7     903     0,0
   1804    33,7     905     0,0
   1809    33,7     908     0,0
   1814    33,7     910     0,0
   1819    33,7     913    33,7
   1824     0,0     915     0,0
   1829     0,0     918     0,0
   1834     0,0     920     0,0
   1839    33,7     923     0,0
   1844    33,7     925     0,0
   1849    33,7     928     0,0
   1854    67,4     930     0,0
   1859    33,7     933     0,0
   1864     0,0     935     0,0
   1869     0,0     937     0,0
   1874    33,7     940     0,0
   1879    67,4     942     0,0
   1884    33,7     945     0,0
   1889     0,0     947     0,0
   1894    67,4     950     0,0
   1899    33,7     952     0,0
   1904    67,4     955     0,0
   1909    33,7     957     0,0
   1914     0,0     960     0,0
   1919    33,7     962     0,0
   1924     101     965     0,0
   1929     101     967    33,7
   1934    33,7     970     0,0
   1939    67,4     972     0,0
   1944    33,7     975     0,0
   1949    33,7     977     0,0
   1954    33,7     980     0,0
   1959    33,7     982     0,0
   1964    33,7     985     0,0
   1969    67,4     987     0,0
   1974    67,4     990     0,0
   1979    67,4     992     0,0
   1984    33,7     995     0,0
   1989     0,0     997     0,0
   1994    33,7    1000     0,0
   1995    34,0    1000     5,0
   1997    34,0    1001     6,0
   1999    34,0    1002     7,0
   2001    20,0    1003     2,0
   2003    27,0    1004     5,0
   2005    32,0    1005     5,0
   2007    24,0    1006     6,0
   2009    26,0    1007    10,0
   2011    24,0    1008     6,0
   2013    36,0    1009     8,0
   2015    26,0    1010     4,0
   2017    21,0    1011     9,0
   2019    34,0    1012     6,0
   2021    14,0    1013     9,0
   2023    27,0    1014    10,0
   2025    21,0    1015    15,0
   2027    32,0    1016     7,0
   2029    22,0    1017    12,0
   2031    28,0    1018     8,0
   2033    32,0    1019    13,0
   2035    23,0    1020    14,0
   2037    22,0    1021    14,0
   2039    23,0    1022    19,0
   2041    25,0    1023    21,0
   2043    34,0    1024    24,0
   2045    23,0    1025    17,0
   2047    24,0    1026    19,0
   2049    26,0    1027    20,0
   2051    27,0    1028    20,0
   2053    26,0    1029    26,0
   2055    16,0    1030    18,0
   2057    29,0    1031    25,0
   2059    19,0    1032    22,0
   2061    26,0    1033    20,0
   2063    26,0    1034    16,0
   2065    33,0    1035    18,0
   2067    20,0    1036    21,0
   2069    24,0    1037    13,0
   2071    32,0    1038    10,0
   2073    27,0    1039    12,0
   2075    16,0    1040     5,0
   2077    21,0    1041    12,0
   2079    17,0    1042    11,0
   2081    33,0    1043    10,0
   2083    16,0    1044    13,0
   2085    20,0    1045     5,0
   2087    22,0    1046     7,0
   2089    27,0    1047     8,0
   2091    24,0    1048     8,0
   2093    26,0    1049    12,0
   2095    22,0    1050    15,0
   2097    23,0    1051    22,0
   2099    16,0    1052    32,0
   2101    25,0    1053    39,0
   2103    24,0    1054    51,0
   2105    28,0    1055    40,0
   2107    29,0    1056    61,0
   2109    35,0    1057    74,0
   2111    32,0    1058    89,0
   2113    35,0    1059     103
   2115    29,0    1060    87,0
   2117    28,0    1061    71,0
   2119    18,0    1062    72,0
   2121    30,0    1063    45,0
   2123    21,0    1064    42,0
   2125    22,0    1065    24,0
   2127    25,0    1066    27,0
   2129    24,0    1067    23,0
   2131    14,0    1068    13,0
   2133    19,0    1069    12,0
   2135    19,0    1070    10,0
   2137    28,0    1071     9,0
   2139    18,0    1072     5,0
   2141    24,0    1073     7,0
   2143    20,0    1074     6,0
   2145    16,0    1075     2,0
   2147    22,0    1076     4,0
   2149    11,0    1077    10,0
   2151    21,0    1078     3,0
   2153    24,0    1079     7,0
   2155    18,0    1080     4,0
   2158    21,0    1081     3,0
   2160    27,0    1082     2,0
   2162    17,0    1083     7,0
   2164    24,0    1084     9,0
   2166    18,0    1085     7,0
   2168    25,0    1086     5,0
   2170    22,0    1087     7,0
   2172    17,0    1088     8,0
   2174    21,0    1089     9,0
   2176    13,0    1090    14,0
   2178    17,0    1091     8,0
   2180    15,0    1092    10,0
   2182    24,0    1093     9,0
   2184    19,0    1094    14,0
   2186    19,0    1095    16,0
   2188    15,0    1096     8,0
   2190    23,0    1097    10,0
   2192    31,0    1098    10,0
   2194    19,0    1099    10,0
   2196    24,0    1100     8,0
   2198    17,0    1101    10,0
   2200    18,0    1102    12,0
   2202    21,0    1103     9,0
   2204    23,0    1104     8,0
   2206    20,0    1105     7,0
   2208    16,0    1106     5,0
   2210    17,0    1107     5,0
   2212    16,0    1108     7,0
   2214    12,0    1109     7,0
   2216    21,0    1110     5,0
   2218    10,0    1111     5,0
   2220    10,0    1112     3,0
   2222    23,0    1113     8,0
   2224    21,0    1114     3,0
   2226    27,0    1115     6,0
   2228    14,0    1116     6,0
   2230    23,0    1117     7,0
