07.12.2024   N1106
Образец: "Ртуть"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834     909     425     0,0
    839    1009     427     0,0
    844    1110     430     0,0
    849    1144     432     0,0
    854    1178     435     0,0
    859    1178     437     0,0
    864    1211     440    33,6
    869    1245     442    33,6
    874    1279     445    33,6
    879    1481     447    33,6
    884    1447     450    33,6
    889    1380     452    33,6
    894    1245     455    33,6
    899    1077     457    33,6
    904     976     460    33,6
    909     909     462    33,6
    914     976     465    33,6
    919     875     467    33,6
    924     841     469    33,6
    929     875     472    33,6
    934     841     474    33,6
    939     774     477    33,6
    944     740     479    33,6
    949     707     482    33,6
    954     673     484    33,6
    959     639     487    33,6
    964     707     489    33,6
    969     707     492    33,6
    974     841     494    33,6
    979     909     497    33,6
    984    1043     499    33,6
    989    1077     502    33,6
    994    1245     504    67,3
    999    1312     507    67,3
   1004    1615     509    67,3
   1009    1918     511    67,3
   1014    2524     514     101
   1019    3466     516    67,3
   1024    4576     519    67,3
   1029    5081     521    67,3
   1034    4913     524    33,6
   1039    4038     526    33,6
   1044    3028     529    33,6
   1049    2086     531    33,6
   1054    1649     534    33,6
   1059    1279     536    33,6
   1064    1009     538    67,3
   1069     909     541    67,3
   1074     841     543    67,3
   1079     740     546    67,3
   1084     572     548    67,3
   1089     538     551    67,3
   1094     639     553    33,6
   1099     673     556    33,6
   1104     707     558    33,6
   1109     572     561    33,6
   1114     639     563    33,6
   1119     673     566    33,6
   1124     606     568    33,6
   1129     572     571    67,3
   1134     572     573    67,3
   1139     606     576     101
   1144     673     578     101
   1149     740     581     135
   1154     740     583     101
   1159     774     586     101
   1164     740     588     135
   1169     707     591     135
   1174     639     593     135
   1179     572     596     135
   1184     505     598     135
   1189     437     601     135
   1194     404     603     135
   1199     336     606     101
   1204     471     608     101
   1209     673     610    67,3
   1214    1413     613    67,3
   1219    2557     615    33,6
   1224    3399     618    67,3
   1229    3769     620    67,3
   1234    2995     623    67,3
   1239    2221     625    67,3
   1244    1245     628    33,6
   1249     673     630    33,6
   1254     336     633    33,6
   1259     370     635    33,6
   1264     404     638    33,6
   1269     404     640    67,3
   1274     370     643    67,3
   1279     303     645    67,3
   1284     336     648    67,3
   1289     336     650    67,3
   1294     303     652    67,3
   1299     303     655    33,6
   1304     269     657    33,6
   1309     202     660    33,6
   1314     202     662    33,6
   1319     303     665    33,6
   1324     370     667    33,6
   1329     370     670    67,3
   1334     303     672    33,6
   1339     202     675    33,6
   1344     202     677    33,6
   1349     101     680    33,6
   1354    67,3     682    33,6
   1359     135     685    67,3
   1364     269     687    67,3
   1369     269     690    67,3
   1374     236     692    33,6
   1379     202     695    33,6
   1384     202     697    67,3
   1389     135     700    67,3
   1394     202     702    67,3
   1399     202     704    33,6
   1404     269     707    33,6
   1409     336     709    67,3
   1414     336     712    33,6
   1419     303     714    33,6
   1424     303     717    33,6
   1429     336     719    33,6
   1434     236     722    33,6
   1439     135     724    67,3
   1444     135     727    33,6
   1449     168     729    33,6
   1454     202     732    33,6
   1459     236     734    67,3
   1464     101     737    33,6
   1469     135     739    33,6
   1474     168     742     0,0
   1479     202     744     0,0
   1484     168     747     0,0
   1489     101     749     0,0
   1494     101     752    33,6
   1499     135     754    33,6
   1504     135     757    33,6
   1509     135     759    33,6
   1514     135     761    33,6
   1519     202     764    33,6
   1524     269     766    67,3
